id,embedding
S12_3380,"[-0.1821521, 0.08140291, -0.14960586, 0.36593375, -0.1042216, -0.1951213, -0.3930556, -0.049738955, -0.21079703, -0.14681569, 0.011642773, 0.09910527, -0.034804557, 0.17452274, 0.13911705, 0.03920631, -0.15674528, -0.088244885, -0.0083172135, -0.013803111, 0.14211081, 0.17629497, -0.12105909, -0.049038325, 0.01502447, 0.10529001, 0.041329596, 0.36278224, 0.251407, 0.17178228, 0.36214054, -0.007287184]"
S12_3891,"[-0.16114005, 0.015299196, -0.07087631, 0.059518576, 0.5124799, 0.057741877, -0.30767795, 0.24955249, -0.056117415, 0.041093726, -0.30838457, 0.049698405, -0.13658175, -0.15887979, -0.29425362, 0.108357124, -0.03586648, 0.1779117, 0.102620885, -0.15812549, -0.043943416, -0.17312925, 0.17863064, 0.008666797, 0.16565935, -0.22919108, -0.15129864, 0.056966867, 0.19896542, 0.09530671, -0.09934985, -0.026034545]"
S12_3990,"[-0.09154041, 0.21896869, -0.04907879, -0.19529998, 0.44646606, 0.22801548, -0.16228718, 0.02348108, 0.1547396, 0.02093156, -0.17798086, 0.2336948, -0.16285741, -0.17916763, 0.11413937, 0.036854737, 0.12679829, 0.35894418, 0.10273438, 0.046452787, 0.1670553, -0.09963668, 0.20634805, -0.033747874, 0.16594763, 0.1302742, -0.21319576, -0.17265041, 0.15305735, 0.052480016, -0.23683865, -0.0002497126]"
S12_4473,"[0.054807324, 0.16345444, 0.2537286, 0.13770187, 0.37633094, -0.19038288, -0.08123229, -0.14180416, -0.16414028, -0.1412567, 0.007322075, 0.0143355215, 0.028844215, -0.10480471, 0.23640002, 0.23612972, -0.28024265, -0.1027392, 0.04222451, 0.22834618, 0.12254877, -0.1472508, 0.08670794, 0.3213342, -0.05429748, 0.14614941, 0.15618213, 0.20605078, -0.19031149, -0.28763667, -0.093881495, -0.048294555]"
S12_4675,"[0.11897157, 0.33179507, -0.0041002575, -0.17208393, 0.044148043, -0.07877764, -0.10952469, -0.042504445, -0.07999119, -0.088723324, 0.13957703, 0.47230268, -0.3559832, 0.11595529, 0.11526973, -0.037415117, -0.028395748, 0.3386675, 0.13350084, -0.11822426, 0.365199, 0.047440693, -0.15648323, -0.09248587, 0.14178252, 0.073049285, -0.20041709, 0.1202921, 0.08782142, 0.0020267018, 0.02299905, 0.09059733]"
S18_1097,"[0.06292843, 0.2176902, -0.056474853, 0.39367595, -0.34517124, 0.04216092, 0.11917665, -0.16177101, -0.08654414, -0.33578855, 0.11782419, 0.18208615, -0.07398524, 0.10882017, 0.023447463, 0.11200529, -0.18346028, -0.11649418, -0.11775129, -0.16159831, 0.3273829, 0.0717039, -0.16226809, 0.12696971, -0.1807076, -0.07124674, 0.32246718, 0.03816399, -0.1020189, -0.13954173, 0.12823969, -0.0039415653]"
S18_1129,"[0.14423798, 0.15093152, -0.11049123, 0.54428405, 0.034899488, 0.06715297, -0.18929574, -0.29989555, -0.16850673, -0.20852919, 0.08538972, 0.1289925, 0.074940935, 0.047525592, 0.029142242, 0.255849, -0.1338522, 0.39368942, 0.22449538, -0.10128088, 0.22250168, -0.009077695, -0.13783197, 0.13454953, 0.060164317, -0.026997687, 0.07814204, 0.056222476, 0.06168757, -0.07253213, 0.015548293, -0.057389673]"
S18_1342,"[-0.011663103, 0.052027207, 0.070295304, 0.30041704, -0.25637564, -0.273537, -0.22817108, 0.115748934, -0.012338128, -0.03600335, -0.34841096, 0.008223357, 0.0051257517, -0.12633221, 0.24174754, 0.17737968, -0.16071823, -0.22506168, 0.18640813, 0.25747645, 0.009238723, 0.16376235, 0.010477788, 0.0025654072, 0.1267755, 0.30335248, -0.06373054, 0.29233882, 0.05295816, -0.031026138, 0.2465894, -0.020486847]"
S18_1367,"[-0.009193605, 0.08135142, 0.0086582545, -0.058366407, -0.3357167, 0.083052166, 0.30074415, -0.0574674, 0.052041385, -0.018928336, -0.45279932, 0.10967179, -0.0681326, -0.33529523, -0.077907145, -0.041388765, 0.014370878, -0.092097245, -0.12519501, 0.08890717, 0.02165381, 0.23317, 0.4194763, -0.088287264, 0.21197137, 0.13133514, -0.2426542, -0.08533978, -0.09090524, 5.5148583e-05, 0.10857092, -0.11062891]"
S18_1589,"[-0.23031233, 0.20298442, -0.0062881573, -0.17622696, 0.56060195, 0.12832513, -0.15845257, -0.28838438, 0.028366309, -0.101522356, 0.24125606, 0.14854392, -0.12899853, 0.012046083, 0.17292963, -0.0695718, 0.09103177, -0.24581617, -0.17253734, 0.12981887, 0.27106592, -0.06859159, 0.17190059, 0.118723765, -0.07469079, 0.08292009, 0.018657118, -0.0614515, 0.11134464, 0.095827445, -0.1291503, -0.027043689]"
S18_1662,"[-0.09415333, -0.11027259, 0.12974788, -0.052335266, 0.2562358, -0.1415101, -0.20775472, 0.43109438, 0.26976758, 0.18250401, -0.30989313, -0.053756136, -0.17192093, -0.099549666, -0.3529788, -0.06310341, 0.046915933, -0.21884978, 0.15056011, -0.1279942, -0.12382148, -0.039035335, 0.01166056, -0.20797026, 0.040698454, -0.2519701, -0.15462755, 0.09988857, 0.09691368, 0.045592364, -0.0058611035, 0.10834331]"
S18_1749,"[0.06672409, 0.0025338887, -0.25833413, 0.31561306, -0.06375085, 0.122570835, -0.3033353, 0.0898865, -0.15191151, -0.10544089, 0.105075225, 0.038900442, -0.12150378, -0.01565448, -0.007228813, 0.3768482, 0.09793982, -0.13085505, 0.35052466, 0.13118452, 0.006077945, -0.180778, -0.19570018, 0.3724048, 0.17226735, -0.029985325, -0.00064340467, -0.1154078, 0.23021361, 0.1501629, -0.06475118, -0.07785632]"
S18_1889,"[0.037234567, 0.11530644, 0.088573724, 0.051544663, 0.28105837, -0.15539292, -0.29357883, -0.027711496, -0.057650775, -0.098826125, 0.27581522, 0.0069217165, 0.09357781, 0.2335877, 0.43918192, 0.11946111, -0.17705253, 0.1167366, 0.13079785, 0.080214754, 0.1262592, -0.14293775, -0.32267717, 0.05592959, -0.1779576, 0.20393656, 0.24415617, 0.20810293, 0.012927945, -0.16215752, -0.08736007, 0.051223155]"
S18_1984,"[-0.1518218, 0.038080014, -0.14434212, -0.30920088, 0.027742766, -0.052399427, -0.2917316, 0.33721536, -0.034005307, 0.064134724, -0.018547231, 0.08684855, -0.25790158, -0.040167842, 0.2384892, 0.13247202, 0.14767519, -0.30822048, 0.12546161, 0.30104157, -0.0364083, -0.16592558, -0.06654214, 0.2134236, 0.124980174, 0.21771654, -0.08553384, -0.01067325, 0.26319835, 0.23918897, -0.042400338, 0.016511464]"
S18_2238,"[0.001401288, -0.01139446, 0.0035518429, -0.2299691, 0.21295306, -0.13884199, -0.26449978, 0.535859, -0.00748265, 0.10072132, -0.08255598, 0.11161573, -0.37325236, -0.027081037, -0.18659109, 0.0961794, 0.047742587, -0.19495939, 0.24170128, -0.016391631, -0.079592295, -0.1986655, -0.13343418, 0.05882824, 0.17164369, -0.17055419, -0.19597824, 0.08677843, 0.15479964, 0.08747704, -0.07753668, 0.05904751]"
S18_2248,"[-0.109573826, 0.019889671, -0.1370054, 0.16427143, -0.25287417, 0.0047008926, -0.264884, 0.05532675, 0.11695438, -0.011258433, -0.1544708, -0.076087765, 0.20800598, 0.04073918, 0.53699225, 0.09923461, 0.007886819, 0.105509646, 0.11950757, 0.24714765, -0.02470423, 0.097682275, -0.12243276, -0.096897796, -0.022616236, 0.48119527, 0.09240052, 0.047772933, 0.19463505, 0.08235038, 0.09584562, 0.015472247]"
S18_2319,"[0.22059534, 0.32701743, 0.01958728, 0.08486618, -0.18915653, -0.08544925, 0.06835346, 0.033507243, -0.155448, -0.24625444, -0.07761692, 0.4323663, -0.37401798, -0.0072040283, -0.09641517, 0.13911305, -0.19745734, 0.13201414, 0.1274563, -0.22608702, 0.34822837, 0.025366306, -0.1379238, 0.036708035, 0.12258639, -0.08981532, -0.0618419, 0.13541082, -0.067804225, -0.15044524, 0.05481584, 0.0054332097]"
S18_2325,"[-0.14746329, 0.22154671, 0.0145047605, -0.008961388, 0.24709919, 0.15406366, 0.009921648, -0.5663971, 0.13428143, -0.106259465, 0.1675273, 0.19698057, -0.06632093, -0.038561437, 0.13676016, -0.1569668, 0.14812472, -0.16645898, -0.17076558, 0.12836131, 0.3545033, 0.18780537, 0.25507283, -0.017862331, -0.020895017, 0.14871347, -0.08694086, -0.10650555, 0.05267998, 0.1030118, 0.023258843, -0.027801162]"
S18_2432,"[-0.013977754, 0.15912825, -0.004938168, -0.22896267, 0.10263071, -0.0951619, -0.15481491, 0.25247705, -0.1861831, -0.08702472, -0.20118842, 0.07248194, -0.050219987, -0.10097445, 0.49121407, 0.24179828, -0.18562944, 0.06641592, 0.06801734, 0.27939737, -0.02827818, -0.19638675, 0.004220557, 0.17578417, 0.09280245, 0.40409356, 0.040232025, 0.12602349, 0.023043899, -0.10094853, -0.13180476, -0.07033797]"
S18_2581,"[0.05644799, 0.05733765, 0.22936232, 0.23089233, -0.008080791, -0.28703603, -0.04502531, -0.25526434, 0.005550269, 0.09456931, -0.31002757, 0.0790573, 0.03265245, -0.17957841, 0.020150417, -0.042928927, -0.09700095, 0.10752967, 0.11798426, 0.15612166, 0.07717935, 0.31206173, 0.25775278, -0.115660705, 0.21694103, 0.18150434, -0.31813994, 0.28218585, -0.07197772, -0.044854637, 0.28375652, 0.009050486]"
S18_2625,"[0.13408121, 0.21724086, -0.124757476, 0.1755435, 0.08111884, 0.086276285, -0.077291705, -0.35616708, -0.22747791, -0.20571345, 0.2731931, 0.24042206, -0.004772384, 0.17123312, 0.17921722, 0.105255224, -0.094583936, 0.53166735, 0.06847207, -0.13039072, 0.28376514, -0.019537957, -0.16699539, 0.08493499, 0.02110793, 0.05550529, 0.05808742, 0.028460652, 0.037303798, -0.04317167, -0.021001209, -0.042826973]"
S18_2795,"[-0.16851981, 0.2973359, 0.09809246, 0.06287082, 0.18996233, -0.0068594436, -0.13825151, -0.049559806, 0.2925758, -0.21433239, -0.10291941, 0.2859836, -0.31697688, -0.02155481, -0.00193386, -0.08500568, -0.04350355, -0.43470496, -0.05952183, -0.11429483, 0.4164201, 0.14238566, 0.039059326, -0.19654785, -0.119552225, -0.019242544, 0.037715875, 0.0979731, 0.081957854, -0.022520656, 0.06338125, 0.039994083]"
S18_2870,"[0.14582074, 0.18550168, 0.2708466, 0.008853795, 0.1831923, -0.06685884, 0.040177405, 0.31278205, 0.3023025, -0.06458619, -0.3461282, 0.16318278, -0.20257194, -0.16115782, -0.17709045, 0.07276054, -0.17319328, 0.029200802, 0.17701888, -0.22402982, 0.16504826, -0.06689507, -0.03189198, -0.18690784, -0.033811685, -0.1658321, 0.002462588, 0.061034556, -0.16840902, -0.3366245, -0.17008086, 0.06883219]"
S18_2949,"[0.109749466, 0.14959596, -0.032853592, 0.02089039, -0.08592954, -0.08526895, 0.11334987, 0.18046203, -0.38725922, -0.18313357, -0.2602838, 0.23812412, -0.31311217, -0.18504724, -0.29941085, 0.22289135, -0.2417169, -0.01662737, -0.0025385364, -0.14473397, 0.07079875, -0.09930667, 0.13089025, 0.24527468, 0.22349879, -0.2152101, -0.088143066, 0.13839181, -0.08303133, -0.081112094, 0.048374284, -0.11660728]"
S18_2957,"[-0.018401442, 0.20814593, -0.1233634, -0.01086323, 0.21899085, 0.041596565, -0.106291644, 0.25113034, -0.38875803, -0.24112885, -0.24696217, 0.16435362, -0.12648895, -0.123992726, 0.09205582, 0.30791873, -0.31336617, 0.23865195, -0.014569992, -0.0765561, 0.05078164, -0.25704545, 0.08631761, 0.22212258, 0.12594777, 0.01920576, 0.07985009, 0.12567729, 0.022177821, -0.12728658, -0.13534752, -0.15788119]"
S18_3029,"[-0.050715223, 0.066696554, 0.2941137, 0.058259066, 0.07461415, -0.027784515, 0.060814757, 0.036638908, 0.550297, -0.0050093816, -0.29984456, -0.092852, 0.07574618, -0.17463185, 0.14368829, -0.052116852, -0.020136768, -0.39926243, 0.003348487, 0.11087089, 0.09507009, 0.10448052, 0.08712038, -0.22734846, -0.21465166, 0.15513536, 0.13745701, -0.03289835, -0.15526341, -0.23314996, -0.08493592, 0.05980002]"
S18_3136,"[0.09220237, -0.018662913, -0.14020538, -0.21987963, -0.64585316, 0.13345706, 0.20366108, 0.26580775, 0.21455893, 0.013448311, 0.009798042, 0.07418208, -0.19224598, 0.009187385, -0.0013765377, -0.03000198, 0.23126791, -0.2997832, 0.05676512, 0.03761385, -0.031149495, 0.04893369, -0.19639665, -0.06533364, 0.02207417, 0.05727258, -0.02551743, -0.26676646, 0.043877665, 0.10522916, -0.021025553, 0.055647388]"
S18_3140,"[-0.14076291, 0.048381068, -0.24696119, 0.09602901, 0.30736437, 0.1405605, -0.3163087, 0.2423481, -0.11548825, -0.05269876, -0.11666967, 0.14668015, -0.21381316, 0.016856704, -0.31985167, 0.08734365, 0.0082537895, 0.23069838, 0.08628646, -0.31245038, 0.037922394, -0.15283912, -0.029054351, -0.023964014, 0.13197538, -0.29915202, -0.09050161, 0.010337868, 0.29629377, 0.1933489, -0.047755897, -0.014349213]"
S18_3232,"[0.066856444, 0.13109381, -0.12048301, 0.05360301, 0.08068541, 0.13514362, -0.09723793, -0.097474016, -0.04517166, -0.20017157, 0.47463423, 0.13378201, -0.18217014, 0.20969754, 0.049532842, 0.14649679, 0.07616522, -0.24644083, 0.086701706, -0.03909995, 0.23722959, -0.21470068, -0.33958116, 0.2827911, -0.1539574, -0.12218741, 0.24799569, -0.14901114, 0.07130973, 0.017364435, -0.16957602, 0.03383004]"
S18_3259,"[0.211211, -0.07435573, 0.11666569, -0.06839959, 0.08028725, -0.29009065, -0.20539579, 0.27761376, -0.1485552, 0.16448076, -0.02992119, 0.026480729, -0.2229238, -0.08406825, -0.07363667, 0.20811746, 0.026337765, -0.15924801, 0.4086269, 0.23012692, -0.1566065, -0.14294551, -0.12712044, 0.2367704, 0.29837257, -0.005229808, -0.3009808, 0.14395364, 0.021392325, 0.011756101, -0.031698916, 0.019140815]"
S18_3278,"[-0.27896997, 0.1473698, -0.16390042, 0.2937271, 0.10453863, 0.30654857, -0.21668987, -0.113627076, 0.33800185, -0.12473577, -0.3411769, 0.051039085, 0.08200011, -0.16268627, 0.15336724, 0.016596274, 0.084509455, 0.042800806, -0.02690323, 0.032707997, 0.17137973, 0.17391926, 0.23764205, -0.22288299, 0.008395527, 0.21233541, -0.0111772185, -0.14148977, 0.23556438, 0.11591099, 0.018439407, -0.07516848]"
S18_3320,"[0.15330775, 0.12966749, 0.1255535, -0.12393787, 0.08804207, -0.03891326, 0.21123761, -0.09279384, -0.22379285, -0.06456318, -0.03711821, 0.1361187, -0.22509378, -0.2792313, -0.043033995, 0.21696182, -0.03228679, -0.31352803, 0.035688058, 0.26026744, 0.082392775, -0.16131179, 0.24008897, 0.47468415, 0.17495832, 0.010138987, -0.10245839, -0.06968326, -0.20420931, -0.11680383, -0.1410234, -0.094392665]"
S18_3482,"[-0.21614014, 0.16484997, -0.095405474, -0.4027546, 0.3424786, 0.040622335, -0.20591156, 0.103559084, -0.071661144, -0.06789436, 0.17389035, 0.16180919, -0.27494362, 0.025857955, 0.23492973, 0.03424245, 0.08517644, -0.34451184, -0.09946141, 0.18522832, 0.14163844, -0.21320386, 0.009251196, 0.21664776, -0.026079929, 0.13010426, 0.041963357, -0.032991227, 0.18454549, 0.15852156, -0.14688618, -0.005792372]"
S18_3685,"[-0.20235366, 0.15794803, 0.27027783, -0.31429297, 0.41457856, -0.17540643, -0.055104174, -0.0014509298, 0.20182116, 0.006787119, -0.17265448, 0.07702955, -0.116871506, -0.11486839, 0.1609733, -0.17419694, -0.085687414, -0.37336418, -0.18993331, 0.13106436, 0.1493867, 0.062229756, 0.2394967, -0.17564401, -0.09549137, 0.15842773, -0.038532414, 0.1862259, -0.054134764, -0.08869129, -0.014392382, 0.034375362]"
S18_3782,"[0.14523165, 0.18049297, 0.01193693, -0.2481361, -0.16228911, -0.04894382, 0.120039694, -0.37193543, -0.10900512, 0.009645924, 0.28398588, 0.26412204, -0.10994918, 0.066129714, 0.3716727, -0.09056282, 0.11647133, 0.18868043, 0.013873145, 0.2466317, 0.20684846, 0.14238355, -0.0028683047, 0.061711553, 0.14878099, 0.3490591, -0.22002178, -0.02245911, -0.035039056, 0.056535147, 0.058169637, 0.013725375]"
S18_3856,"[0.06733296, 0.17680748, -0.054133542, 0.26179767, 0.19921102, 0.14820056, -0.11484499, 0.18609175, -0.029926708, -0.17825241, -0.30341524, 0.12341202, -0.003053817, -0.10537648, -0.07061539, 0.25042757, -0.23522456, 0.51441735, 0.15235096, -0.2811131, 0.10677495, -0.16092518, -0.017206987, -0.033414308, 0.048174538, -0.1109762, 0.08840715, 0.011755069, 0.010917664, -0.21126135, -0.17888923, -0.065192156]"
S18_4027,"[-0.09586053, 0.025735855, 0.10319864, 0.1497243, 0.39840004, -0.3281919, -0.35358518, -0.29831034, -0.19447105, 0.014782648, 0.2946454, 0.019500162, 0.04589362, 0.22899476, 0.14141561, -0.09299712, -0.122804925, 0.036007095, -0.024964398, 0.04654355, 0.1275624, 0.044543985, -0.11207493, -0.006693744, -0.084290974, 0.041365743, 0.025608016, 0.39433447, 0.09455874, 0.06974332, 0.18324459, 0.07633507]"
S18_4409,"[-0.17482176, 0.21805516, -0.14226305, 0.30283648, -0.04407171, 0.022120757, -0.29048008, 0.18089737, 0.06751049, -0.26408473, -0.25564936, 0.15433498, -0.035881512, 0.08888338, 0.15951905, 0.09898215, -0.24111634, 0.15834299, -0.019655041, -0.2632177, 0.24545822, 0.036234424, -0.16863714, -0.22275399, -0.15715, 0.055812243, 0.27182844, 0.19982065, 0.18918994, -0.037307948, 0.10401375, 0.019156367]"
S18_4522,"[0.14268522, 0.22098249, -0.0330026, -0.22548917, 0.10479811, 0.12993671, 0.21775547, -0.0074531236, -0.33065832, -0.1635876, -0.044495173, 0.22592814, -0.19974314, -0.21409486, 0.05940287, 0.23828888, -0.10593892, 0.120738715, -0.030751517, 0.095889606, 0.10044036, -0.22988209, 0.20140105, 0.38948792, 0.19064853, 0.04709906, -0.058365386, -0.12613918, -0.14917076, -0.14041726, -0.23425527, -0.15001561]"
S18_4600,"[0.16696273, 0.07315384, -0.07116066, 0.3353688, -0.36765516, 0.09695972, -0.006621278, 0.18047252, 0.10400478, -0.18611804, -0.06725733, 0.04685801, -0.1435504, -0.118731834, -0.019657511, 0.35720772, 0.014204032, -0.4069718, 0.27665496, 0.1023953, 0.091326, -0.09751186, -0.19480619, 0.28151533, 0.021142842, -0.031866934, 0.15552673, -0.16348316, -0.018587483, -0.09493415, -0.07550813, -0.043002103]"
S18_4668,"[0.10402934, 0.016663745, -0.048980393, 0.00039555412, -0.4531582, 0.013912851, 0.20177557, 0.32222384, -0.030399874, -0.032458086, -0.48774666, 0.08857132, -0.19382714, -0.29690328, -0.2162865, 0.1514827, -0.03778481, -0.18903838, 0.084589854, 0.000745943, -0.08715864, 0.050774544, 0.16137658, 0.033149008, 0.24614367, -0.034065433, -0.17952244, -0.052219726, -0.054193083, -0.024560295, 0.05495283, -0.09137474]"
S18_4721,"[-0.2350608, -0.10382858, -0.17403354, 0.3495821, 0.22737822, -0.029414678, -0.42086133, -0.22088264, -0.073035434, 0.0625819, 0.13514955, -0.031368986, 0.012611149, 0.12393248, -0.21706341, -0.066399425, 0.13529141, -0.07120903, 0.045421846, -0.037813433, 0.03255705, 0.11988176, 0.019063605, -0.0106530795, 0.065069616, -0.16476586, -0.115242206, 0.12688355, 0.33726355, 0.35671166, 0.24769793, 0.039563686]"
S18_4933,"[0.052017048, -0.019109704, -0.16347781, 0.19507185, -0.18100992, 0.294018, -0.06564034, 0.0050284527, 0.20722419, -0.01004544, -0.03814105, -0.13205457, 0.2704886, -0.03169709, 0.38403937, 0.20274156, 0.13362668, 0.31980205, 0.19464087, 0.19023558, -0.06517152, -0.08298618, -0.123719394, 0.06613046, -0.03455445, 0.31121337, 0.15138113, -0.30591172, 0.07046889, -0.024955723, -0.19588605, -0.01967305]"
S24_1046,"[-0.09233764, -0.09875053, -0.21459492, -0.11801381, -0.45274574, 0.04401042, 0.079429224, -0.1396878, -0.1155268, 0.0914871, 0.16851859, 0.016857997, -0.073170036, 0.0214379, 0.073601894, -0.118283324, 0.2761094, -0.27130175, -0.12023641, 0.2703508, -0.08090355, 0.18172595, 0.09564317, 0.11786566, 0.15967815, 0.17798004, -0.20380814, -0.12512669, 0.14189038, 0.3555775, 0.22644754, -0.03425966]"
S24_1444,"[-0.14804547, 0.11683749, -0.050829884, -0.0470297, 0.59429336, 0.14092948, -0.36848813, 0.17429116, 0.15464088, 0.035194166, -0.14096338, 0.1317954, -0.2098723, -0.12669307, -0.062277757, 0.11000241, 0.12291054, 0.06873771, 0.2037586, 0.007314329, 0.097885385, -0.18371753, 0.08841629, 0.043216087, 0.1269511, -0.061567653, -0.15546069, -0.088542864, 0.24293792, 0.10924495, -0.21050169, 0.018938957]"
S24_1578,"[-0.06279989, 0.37469327, 0.12110983, -0.099580705, 0.26777974, -0.006967822, -0.043299764, 0.048814785, 0.21250002, -0.17691877, -0.21167909, 0.39802316, -0.40475956, -0.09876828, -0.041708555, -0.05264107, -0.080402166, -0.17747787, -0.054273885, -0.15608637, 0.41459852, 0.0147019075, 0.07077206, -0.16492966, -0.018804949, -0.04432331, -0.040145457, 0.06230519, 0.017380528, -0.09196399, -0.06687401, 0.08153684]"
S24_1628,"[-0.24590947, 0.1006329, 0.15231279, -0.294446, 0.23176725, -0.19945283, -0.12363967, 0.0123703135, 0.106181085, 0.108307235, -0.22705397, 0.091277815, -0.100911796, -0.12067632, 0.2419785, -0.20747368, -0.0059814216, -0.19838187, -0.1608747, 0.23236875, 0.062427174, 0.17173944, 0.29843917, -0.2008697, 0.06809091, 0.2957954, -0.21629968, 0.21932049, 0.066398434, 0.08552106, 0.1393834, 0.033014033]"
S24_1785,"[-0.23908721, 0.15376797, -0.06550008, 0.25529647, -0.07091793, 0.1381073, -0.20742273, -0.18769757, 0.40066496, -0.08383682, -0.1992282, 0.07046773, 0.061091773, -0.06022988, 0.3037599, -0.061877336, 0.11397522, -0.13458034, -0.010883772, 0.13715239, 0.2417268, 0.2643458, 0.10004003, -0.242244, -0.07868875, 0.326247, 0.028699651, -0.050413046, 0.19768421, 0.11530189, 0.12590073, 0.020986186]"
